coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,RSUID,t,x,y,perReportID,corrupted,peerReported
8502532,340.999850067297,37.9999902958216,-231.999981571506,27,152.3499988,-82.4488275398726,27.9497742920953,8915715,1,1
8502532,341,38,-232,27,152.3499988,-82.4488965,27.9497574,8690389,0,1
8502532,341.000017391157,37.9999991708387,-231.999982140674,27,152.3499988,-82.4488414503026,27.9497365160662,8915715,1,1
8502532,341,38,-232,27,152.3499988,-82.4488965,27.9497574,8690389,0,1
8502532,341.000094983606,38.000001712961,-231.999993807962,27,152.3499988,-82.4490410834785,27.9498016552114,8915715,1,1
8502532,341,38,-232,27,152.3499988,-82.4488965,27.9497574,8690389,0,1
8502532,340.999885801757,37.9999944585205,-231.999974784414,27,152.3499988,-82.4490999050335,27.9498100556605,8915715,1,1
8690389,522,-13,-2,25,152.3500016,-82.449117,27.9514675,8690389,0,0
8690389,521.999888019257,-12.9999879255489,-2.00006274828848,25,152.3500016,-82.4490940738717,27.9514604795271,8502532,1,1
8690389,521.999707650409,-13.0000000415304,-1.99998038174493,25,152.3500016,-82.4490565755938,27.9514471221744,8915715,1,1
8690389,522.000128076589,-12.9999954253413,-2.00002583744684,25,152.3500016,-82.4491518525105,27.9514617820298,8502532,1,1
8690389,521.999904724388,-12.9999961354136,-2.00000255379329,25,152.3500016,-82.4489591908976,27.9514578035195,8915715,1,1
8690389,518,-15,8,25,152.3990016,-82.4491161,27.951463,8690389,0,0
8690389,517.999561449759,-15.0000032446001,7.99991096272224,25,152.3990016,-82.448978393526,27.9514014649089,8502532,1,1
8690389,517.999906286569,-15.0000081263765,8.00002230562534,25,152.3990016,-82.4491569796524,27.9514759030712,8915715,1,1
8690389,517.998946428537,-14.9999999917428,8.00006631385573,25,152.3990016,-82.4491549858059,27.9514413514603,8502532,1,1
8690389,517.999659073115,-14.9999963764734,8.00002729888685,25,152.3990016,-82.4490580358345,27.9514742611495,8915715,1,1
8690389,518.000045866542,-15.0000035705026,7.99999901618424,25,152.3990016,-82.449016101891,27.951424056415,8502532,1,1
8690389,517.999615038886,-14.9999903934545,7.99997561442694,25,152.3990016,-82.449109727755,27.9515017127391,8915715,1,1
8690389,517.999535467302,-15.0000007235767,7.99999586810414,25,152.3990016,-82.4491215573071,27.9514522042935,8502532,1,1
8690389,518.000058657413,-14.9999997457285,7.9999821234307,25,152.3990016,-82.4491078663041,27.9514610042592,8915715,1,1
